Date,Open,High,Low,Close,Adj Close,Volume
2022-12-21,14205.05957,14291.980469,14197.860352,14234.400391,14234.400391,3230800
2022-12-22,14323.040039,14442.94043,14323.040039,14442.94043,14442.94043,3258800
2022-12-23,14318.120117,14318.120117,14192.980469,14271.629883,14271.629883,1979800
2022-12-26,14271.200195,14301.110352,14253.200195,14285.129883,14285.129883,1574600
2022-12-27,14310.19043,14410.240234,14310.19043,14328.429688,14328.429688,1821100
2022-12-28,14249.830078,14249.830078,14119.299805,14173.099609,14173.099609,1958900
2022-12-29,14097.509766,14120.570313,13981.629883,14085.019531,14085.019531,1839200
2022-12-30,14183.519531,14248.900391,14137.69043,14137.69043,14137.69043,1748100
2023-01-03,14108.160156,14237.94043,14001.969727,14224.120117,14224.120117,1816400
2023-01-04,14186.950195,14257.450195,14177.969727,14199.129883,14199.129883,2073800
2023-01-05,14285.120117,14357.599609,14270.929688,14301.049805,14301.049805,2086500
2023-01-06,14278.519531,14384.919922,14278.519531,14373.339844,14373.339844,1741200
2023-01-09,14504.469727,14752.209961,14504.469727,14752.209961,14752.209961,2581100
2023-01-10,14796.269531,14816.129883,14728.55957,14802.959961,14802.959961,2069800
2023-01-11,14822.860352,14842.740234,14734.44043,14751.44043,14751.44043,1986800
2023-01-12,14780.580078,14813.30957,14700.730469,14731.639648,14731.639648,1812900
2023-01-13,14923.049805,14962.30957,14822.150391,14824.129883,14824.129883,1786500
2023-01-16,14895.259766,14960.919922,14895.259766,14927.009766,14927.009766,1611600
2023-01-17,14922.339844,14945.230469,14884.780273,14932.929688,14932.929688,1772600
2023-01-30,15291.530273,15493.820313,15291.530273,15493.820313,15493.820313,3697500
2023-01-31,15419.209961,15441.980469,15265.200195,15265.200195,15265.200195,3357200
2023-02-01,15346.349609,15420.129883,15291.679688,15420.129883,15420.129883,3009800
2023-02-02,15508.830078,15602.089844,15496.519531,15595.160156,15595.160156,3248500
2023-02-03,15591.950195,15617.730469,15504.030273,15602.660156,15602.660156,2647300
2023-02-06,15514.799805,15514.799805,15392.820313,15392.820313,15392.820313,2320600
2023-02-07,15376.120117,15462.099609,15363.650391,15400.910156,15400.910156,2251800
2023-02-08,15538.709961,15631.219727,15520.049805,15618.169922,15618.169922,2514500
2023-02-09,15590,15617.339844,15553.839844,15598.709961,15598.709961,2236100
2023-02-10,15627.330078,15628.299805,15546.110352,15586.650391,15586.650391,2483000
2023-02-13,15564.759766,15569.990234,15465.55957,15544.280273,15544.280273,2184300
2023-02-14,15584.740234,15669.629883,15584.740234,15654.480469,15654.480469,2077800
2023-02-15,15497.669922,15553.679688,15388.849609,15432.889648,15432.889648,2438100
2023-02-16,15474.459961,15585.480469,15474.459961,15550.5,15550.5,2883000
2023-02-17,15503.75,15503.75,15418.429688,15479.700195,15479.700195,2528300
2023-02-20,15452.009766,15575.320313,15436.660156,15551.230469,15551.230469,2994900
2023-02-21,15535.639648,15567.740234,15496.730469,15563,15563,2997300
2023-02-22,15541.169922,15541.169922,15345.929688,15418.769531,15418.769531,2881300
2023-02-23,15463.459961,15657.629883,15463.459961,15615.410156,15615.410156,3012200
2023-02-24,15669.879883,15717.959961,15503.790039,15503.790039,15503.790039,2717600
2023-03-01,15435.379883,15617.030273,15387.379883,15598.490234,15598.490234,3062600
2023-03-02,15580.280273,15618.05957,15492.370117,15598.719727,15598.719727,2664900
2023-03-03,15621.360352,15713.419922,15606.849609,15608.419922,15608.419922,3025100
2023-03-06,15675.280273,15818.879883,15675.280273,15763.509766,15763.509766,3095600
2023-03-07,15763.870117,15879.160156,15749.040039,15857.889648,15857.889648,2944000
2023-03-08,15819.179688,15821.490234,15740.980469,15818.200195,15818.200195,3091600
2023-03-09,15827.980469,15878.75,15770.660156,15770.660156,15770.660156,3556200
2023-03-10,15729.290039,15729.290039,15488.709961,15526.200195,15526.200195,3932200
2023-03-13,15514.030273,15571.169922,15349.669922,15560.490234,15560.490234,3141600
